node_id,name,original_name,former_name,jurisdiction,jurisdiction_description,company_type,address,internal_id,incorporation_date,inactivation_date,struck_off_date,dorm_date,status,service_provider,ibcRUC,country_codes,countries,sourceID,valid_until,note,node_type
10091516,HOLLYCROFT MANAGEMENT LIMITED,HOLLYCROFT MANAGEMENT LIMITED,,BVI,British Virgin Islands,,MINERVA TRUST & CORPORATE SERVICES LIMITED P.O. BOX 218 43-45 LA MOTTE STREET; ST. HELIER JE4 8SD; JERSEY UNITED KINGDOM,543330,11-JUN-2001,,,,Active,Mossack Fonseca,448487,JEY,Jersey,Panama Papers,The Panama Papers data is current through 2015,,company
10091540,ARNEVALE S.A.,ARNEVALE S.A.,,BVI,British Virgin Islands,,HELM TRUST COMPANY LIMITED 1ST FLOOR; 17 BOND STREET  ST. HELIER; JERSEY JE2 3NP CHANNEL ISLANDS *S.I.*,546522,02-JAN-2002,,,,Active,Mossack Fonseca,474618,JEY,Jersey,Panama Papers,The Panama Papers data is current through 2015,,company
10091842,ELSDEN ASSOCIATES LIMITED,ELSDEN ASSOCIATES LIMITED,,BVI,British Virgin Islands,,ATLANTIQUE (BVI) LIMITED 3RD FLOOR; 37 ESPLANADE CHANNEL ISLANDS ST. HELIER JE2 3QA; JERSEY UNITED KINGDOM,548419,15-MAY-2002,,,,Active,Mossack Fonseca,496079,JEY,Jersey,Panama Papers,The Panama Papers data is current through 2015,,company
10091952,COUNTRY TOWER STUDIOS LIMITED,COUNTRY TOWER STUDIOS LIMITED EX- WOW VENTURES LIMITED,WOW VENTURES LIMITED,BVI,British Virgin Islands,,MINERVA TRUST & CORPORATE SERVICES LIMITED P.O. BOX 218 43-45 LA MOTTE STREET; ST. HELIER JE4 8SD; JERSEY UNITED KINGDOM,545549,08-NOV-2001,,,,Active,Mossack Fonseca,469038,JEY,Jersey,Panama Papers,The Panama Papers data is current through 2015,,company
10092104,EMERALD & SAPPHIRE HOLDINGS LIMITED,EMERALD & SAPPHIRE HOLDINGS LIMITED,,BVI,British Virgin Islands,,MINERVA TRUST & CORPORATE SERVICES LIMITED P.O. BOX 218 43-45 LA MOTTE STREET; ST. HELIER JE4 8SD; JERSEY UNITED KINGDOM,541813,07-NOV-1994,,,,Active,Mossack Fonseca,132552,JEY,Jersey,Panama Papers,The Panama Papers data is current through 2015,,company
10092106,HOLLYSPRINGS HOLDINGS LIMITED,HOLLYSPRINGS HOLDINGS LIMITED,,BVI,British Virgin Islands,,MINERVA TRUST & CORPORATE SERVICES LIMITED P.O. BOX 218 43-45 LA MOTTE STREET; ST. HELIER JE4 8SD; JERSEY UNITED KINGDOM,541825,07-JUL-1999,02-FEB-2006,30-APR-2007,,Dissolved,Mossack Fonseca,332961,JEY,Jersey,Panama Papers,The Panama Papers data is current through 2015,,company
10093307,KILKEE MANAGEMENT LIMITED,KILKEE MANAGEMENT LIMITED,,BVI,British Virgin Islands,,MINERVA TRUST & CORPORATE SERVICES LIMITED P.O. BOX 218 43-45 LA MOTTE STREET; ST. HELIER JE4 8SD; JERSEY UNITED KINGDOM,538484,16-AUG-2000,,30-APR-2013,,Inactivated,Mossack Fonseca,401868,JEY,Jersey,Panama Papers,The Panama Papers data is current through 2015,,company
10093473,CLARA PROPERTIES LIMITED,CLARA PROPERTIES LIMITED,,BVI,British Virgin Islands,,MINERVA TRUST & CORPORATE SERVICES LIMITED P.O. BOX 218 43-45 LA MOTTE STREET; ST. HELIER JE4 8SD; JERSEY UNITED KINGDOM,547286,05-MAR-2002,,,,Active,Mossack Fonseca,485606,JEY,Jersey,Panama Papers,The Panama Papers data is current through 2015,,company
10093486,ROYALWAVE HOLDINGS LIMITED,ROYALWAVE HOLDINGS LIMITED,,BVI,British Virgin Islands,,MINERVA TRUST & CORPORATE SERVICES LIMITED P.O. BOX 218 43-45 LA MOTTE STREET; ST. HELIER JE4 8SD; JERSEY UNITED KINGDOM,541806,14-DEC-1999,02-DEC-2010,30-APR-2011,,Defaulted,Mossack Fonseca,356949,JEY,Jersey,Panama Papers,The Panama Papers data is current through 2015,,company
10093494,ROCKEAGLE OVERSEAS CORPORATION,ROCKEAGLE OVERSEAS CORPORATION,,BVI,British Virgin Islands,,MINERVA TRUST & CORPORATE SERVICES LIMITED P.O. BOX 218 43-45 LA MOTTE STREET; ST. HELIER JE4 8SD; JERSEY UNITED KINGDOM,541839,04-MAR-1998,,,,Active,Mossack Fonseca,270314,JEY,Jersey,Panama Papers,The Panama Papers data is current through 2015,,company
